Keyword,Source,Author,Title,URL,Text,Published
immigration,The Wall Street Journal,"Sabrina Siddiqui, Michelle Hackman, Chad Day",Campaign Tones Down Immigration Messages That Dominated 2016...,https://www.wsj.com/articles/trump-campaign-tones-down-immigration-messages-that-dominated-2016-election-11603796411,"Four years ago, then-candidate Donald Trump rode to the Republican nomination and then the White House on a platform centered around curbing illegal immigration and building a wall along the U.S.-Mex… [+160 chars]",2020-10-27T11:07:37Z
immigration,The Wall Street Journal,"Rebecca Ballhaus, Andrew Restuccia",Aides Weigh Agenda for The Final Stretch...,https://www.wsj.com/articles/as-trump-focuses-on-2024-aides-mull-agenda-for-final-days-11605206862,"WASHINGTONPresident Trump in recent days has expressed increasing interest in running for president again in 2024. He has spent less time on his remaining 69 days in office, leaving it to aides to de… [+1725 chars]",2020-11-13T01:22:37Z
immigration,The Wall Street Journal,"Alicia A. Caldwell, Michelle Hackman",Administration Races to Meet Border-Wall Goal...,https://www.wsj.com/articles/trump-administration-races-to-meet-border-wall-goal-11603454404,"GUADALUPE CANYON, Ariz.The Trump administration is building new sections of a wall on the nations southern border wherever it can and as quickly as it can to try to meet the presidents goal of buildi… [+7181 chars]",2020-10-23T14:49:37Z
immigration,The Wall Street Journal,"Greg Ip, Ken Thomas","Business on Biden: Not So Bad, Given the Alternatives - The Wall Street Journal",https://www.wsj.com/articles/business-on-biden-not-so-bad-given-the-alternatives-11603645608,"Former Vice President 
Joe Biden
is running for president on the sort of platform that usually makes business sweat: higher taxes on corporations and investors, aggressive action to phase out fossi… [+15432 chars]",2020-10-25T17:28:17Z
immigration,The Wall Street Journal,Philip Wen,One of the World’s Toughest Coronavirus Lockdowns Eases in Melbourne—by a Hair - The Wall Street Journal,https://www.wsj.com/articles/one-of-the-worlds-toughest-coronavirus-lockdowns-eases-in-melbourneby-a-hair-11603018978,"MELBOURNE, AustraliaAfter more than 100 days under one of the lengthiest and most stringent lockdowns in the world, residents of Australias second-largest city are getting a hard-earned reprievebut t… [+332 chars]",2020-10-18T11:02:00Z
immigration,The Wall Street Journal,WSJ Staff,"WSJ Wealth Adviser Election Briefing: Emerging-Market Currencies, VC Issues, Green Energy Shift",https://blogs.wsj.com/moneybeat/2020/11/03/wsj-wealth-adviser-election-briefing-emerging-market-currencies-vc-issues-green-energy-shift/,"Nov 3, 2020 11:40 am ET
 Gridlock is supposed to be good for Wall Street. But strategists and investment managers are bucking conventional wisdom, saying a divided executive and legislative branch w… [+171 chars]",2020-11-03T16:40:12Z
immigration,The Wall Street Journal,,What H-1B Visa Changes Could Mean for Tech Startups - Wall Street Journal,https://www.wsj.com/articles/what-h-1b-visa-changes-could-mean-for-tech-firms-11604500024,Changes to the H-1B visa program announced in October will make qualifying for the work visas much tougher and compel employers to pay foreign workers drastically higher wages. U.S. technology startu… [+3074 chars],2020-11-04T14:27:00Z
immigration,The Wall Street Journal,Melanie Grayce West,Business Group Urges Changes to New York City’s Health System - The Wall Street Journal,https://www.wsj.com/articles/business-group-urges-changes-to-new-york-citys-health-system-11603105205,"A powerful business group representing some of New York Citys largest private-sector employers is calling for reforms in health-care programs and policies, including a system to set health standards … [+4189 chars]",2020-10-19T11:00:00Z
immigration,The Wall Street Journal,"Catherine Lucey, Aaron Zitner",Joe Fends Off 2016 Playbook...,https://www.wsj.com/articles/joe-biden-fends-off-president-trumps-2016-playbook-11603199517,"WASHINGTONPresident Trump is dipping into his 2016 playbook, using paid advertising, his Twitter feed, campaign rallies and White House events to attack Democratic nominee Joe Biden over his politica… [+7921 chars]",2020-10-20T14:43:37Z
immigration,The Wall Street Journal,"John McCormick, Alex Leary",CALMER,https://www.wsj.com/articles/final-trump-biden-debate-marks-start-of-sprint-to-election-11603386976,"President Trump and Democrat Joe Biden offered starkly differing views of the administrations handling of the coronavirus pandemic, traded accusations about their personal ethics and questioned each … [+9347 chars]",2020-10-23T03:22:37Z
