Keyword,Source,Author,Title,URL,Text,Published
refugee,Buzzfeed,"[{""@type"":""Person"",""name"":""Lauren Yapalater"",""url"":""https://www.buzzfeed.com/lyapalater"",""jobTitle"":""BuzzFeed Staff""}]","Everything New Coming To Netflix This Week, Starting October 29",https://www.buzzfeed.com/lyapalater/everything-new-coming-to-netflix-this-week-starting-october,"Bronx Netflix Film
A team of cops investigating the seedy underbelly of Marseille, France, find themselves in over their heads as they realize that some of their fellow officers may be deep in the p… [+1396 chars]",2020-10-29T21:50:39Z
refugee,The Wall Street Journal,Matthew Dalton,France Vows to Root Out Islamist Extremism After Beheading of Teacher...,https://www.wsj.com/articles/france-vows-to-root-out-islamist-extremism-after-beheading-of-teacher-samuel-paty-11603139336,"PARISFrench authorities vowed to crack down on civic groups they said were promoting radical Islam, days after an extremist beheaded a schoolteacher for showing caricatures of the Prophet Muhammad in… [+4370 chars]",2020-10-19T21:34:37Z
refugee,The Wall Street Journal,Laurent Dubreuil,Islamism Converges With Cancel Culture - The Wall Street Journal,https://www.wsj.com/articles/islamism-converges-with-cancel-culture-11603659312,"Samuel Paty wanted to teach his students a lesson about free speech. He ended up paying with his life. Paty, 47, a middle-school teacher in a Paris suburb, announced to his civics class in early Octo… [+3897 chars]",2020-10-25T21:55:00Z
refugee,USA Today,"USA TODAY, Danae King, USA TODAY",'No child should be away from their mom': Trump policies make it nearly impossible for refugees to come to US,https://www.usatoday.com/story/news/nation/2020/10/24/trump-immigration-policy-limits-us-taking-nearly-all-refugees/5984059002/,"COLUMBUS, Ohio -- Amina Olow holds her breath as she dials her aunt, the only hope she has of reaching her daughters,15-year-old Nemotallah and 13-year-old Nestexo.
The phone rings and rings before … [+11299 chars]",2020-10-24T10:00:47Z
refugee,USA Today,"USA TODAY, Alan Gomez and Daniel Gonzalez, USA TODAY","Biden might need years to reverse Trump's immigration policies on DACA, asylum, family separation, ICE raids, private detention and more",https://www.usatoday.com/story/news/nation/2020/11/12/how-biden-reverse-trump-immigration-policies/6228892002/,"Former vice president Joe Biden says hes ashamed of Trumps immigration policy that led to a national scandal over the separation of migrant children and parents at the border.
Family separations. Th… [+34557 chars]",2020-11-13T00:10:46Z
refugee,USA Today,"USA TODAY, Richard Wolf, USA TODAY",Supreme Court will rule on Trump administration policy forcing asylum seekers to remain in Mexico,https://www.usatoday.com/story/news/politics/2020/10/19/supreme-court-decide-fate-trump-administration-asylum-policy/5888265002/,"Migrants are told to apply for asylum from Mexico. What its like in Tapachula
USA TODAY
WASHINGTON  The Supreme Court agreed Monday to decide the fate of a Trump administration policy that forces m… [+3286 chars]",2020-10-19T13:41:10Z
refugee,USA Today,"USA TODAY, Grace Hauck, USA TODAY",Watchdog report: US 'took deliberate steps' to limit daily processing of asylum seekers along Mexico border,https://www.usatoday.com/story/news/nation/2020/10/31/us-immigration-asylum-seekers-processing-along-mexico-border-limited/6103242002/,"President Trump and former Vice President Biden disagree on the statistics regarding immigration reform.
USA TODAY
A government watchdog report published Friday details how the U.S. ""took deliberat… [+7232 chars]",2020-10-31T21:46:39Z
refugee,USA Today,"USA TODAY, Jenna Ryu, USA TODAY",Elevating Asian talent: The 5 best movies we saw at LA Asian Pacific Film Festival (including '76 Days'),https://www.usatoday.com/story/entertainment/movies/2020/10/26/paper-tigers-76-days-best-films-la-asian-pacific-festival/5965753002/,"Racist policies have led to COVID-19 being more dangerous and deadly for Black, Latino, Asian and Indigenous Americans than for white Americans.
USA TODAY
We're getting a little closer to Asian rep… [+5424 chars]",2020-10-26T19:05:10Z
refugee,USA Today,"USA TODAY, Gena Thomas, Opinion contributor",'Remain in Mexico' policy: My foster daughter was separated from her family at the border,https://www.usatoday.com/story/opinion/voices/2020/11/03/zero-tolerance-remain-in-mexico-border-policy-family-separation-column/6124902002/,"Being pro-life isn't just about supporting children; it's about supporting families and making sure they stay strong, together.
My former foster daughter was part of the pilot program of family sepa… [+5103 chars]",2020-11-03T17:00:19Z
refugee,USA Today,"USA TODAY, Caryl M. Stern, Opinion contributor",Walton Foundation chief: 5 ways we can help children cope with COVID-19 pandemic,https://www.usatoday.com/story/opinion/2020/11/10/5-ways-help-kids-cope-covid-19-pandemic-walton-foundation-chief/6219130002/,"We ask our children to be socially distant. The least we can do is be emotionally present.
For all the burdens that COVID-19 puts on adults, the toll on children is its own menacing mix of fear, con… [+4840 chars]",2020-11-10T11:00:58Z
