Keyword,Source,Author,Title,URL,Text,Published
immigrant,The Wall Street Journal,,What H-1B Visa Changes Could Mean for Tech Startups - Wall Street Journal,https://www.wsj.com/articles/what-h-1b-visa-changes-could-mean-for-tech-firms-11604500024,Changes to the H-1B visa program announced in October will make qualifying for the work visas much tougher and compel employers to pay foreign workers drastically higher wages. U.S. technology startu… [+3074 chars],2020-11-04T14:27:00Z
immigrant,The Wall Street Journal,The Editorial Board,Macron and the Islamists - The Wall Street Journal,https://www.wsj.com/articles/macron-and-the-islamists-11604098346,"France has been rocked in recent weeks by three terror attacks, the latest on Thursday in Nice. That stabbing in a church, which killed three, followed the beheading of teacher Samuel Paty two weeks … [+2582 chars]",2020-10-30T23:52:00Z
immigrant,The Wall Street Journal,Kate Dwyer,How Susie Yang Went From Tech Entrepreneurship to Literary Stardom - The Wall Street Journal,https://www.wsj.com/articles/susie-yang-white-ivy-netflix-interview-11603465017,"In 2016, Susie Yang was living in San Francisco, spending her evenings bingeing Breaking Bad and House of Cards on
Netflix,
tinkering with the idea of writing a book. Soon, she may be bingeing her … [+7293 chars]",2020-10-23T15:25:00Z
immigrant,The Wall Street Journal,Robert Mcmillan,"Apps Give Trump, Biden Campaigns Tools to Rally, Track Supporters",https://www.wsj.com/articles/apps-give-trump-biden-campaigns-tools-to-rally-track-supporters-11603548001,"The Trump and Biden campaigns have each developed apps aimed at rallying supporters and swaying votes, but they also collect data on their users and their friends, according to a Wall Street Journal … [+6586 chars]",2020-10-24T15:30:24Z
immigrant,USA Today,"USA TODAY, Adrianna Rodriguez, USA TODAY",'A stain on our country': ICE efforts to stop COVID-19 spread fail to protect immigrant detainees from the virus,https://www.usatoday.com/story/news/health/2020/11/11/covid-ice-detainee-case-rate-higher-than-general-us-study/6220333002/,"Despite efforts the U.S. Immigration and Customs Enforcement says it has implemented to prevent spread of COVID-19 in detention facilities, detainees are still infected at a much higher rate than the… [+5758 chars]",2020-11-11T11:01:27Z
immigrant,USA Today,"USA TODAY, McKenzie Sadeghi, USA TODAY",Fact check: Trump did not mean actual 'coyotes' take children across the border,https://www.usatoday.com/story/news/factcheck/2020/10/24/fact-check-trumps-coyote-remark-debate-taken-out-context/6008809002/,"President Trump defended his administration's child separation and immigration policies during the final 2020 presidential debate.
USA TODAY
The claim: Trump said actual 'coyotes' are taking childr… [+5327 chars]",2020-10-24T13:47:06Z
immigrant,USA Today,"USA TODAY, Marco della Cava, USA TODAY","'These are tears of joy': Americans honk horns, dance in the streets as Joe Biden and Kamala Harris claim victory in a deeply divided nation",https://www.usatoday.com/story/news/nation/2020/11/07/joe-biden-wins-presidency-america-still-divided-celebrations/6176161002/,"Joe Biden won key several battleground states like Michigan and Wisconsin.
USA TODAY
In New York, car horns and shouts of joy permeated the air as news spread that Democratic nominee and former Vic… [+13585 chars]",2020-11-07T17:51:20Z
immigrant,USA Today,"USA TODAY, Karen Weintraub, USA TODAY",Black Americans are the most hesitant to get a COVID vaccine. That should be a big concern for everyone.,https://www.usatoday.com/story/news/health/2020/10/29/covid-vaccine-black-americans-hesitancy-trials/3744257001/,"As data shows that black Americans are disproportionately affected by COVID-19, communities are pointing to disparities in health care while trying to fight the virus' spread. In north St. Louis, mis… [+10343 chars]",2020-10-29T10:33:45Z
immigrant,USA Today,"USA TODAY, Deborah Barfield Berry, Alan Gomez, Rick Jervis and Marco della Cava, USA TODAY","Black, Latino Americans flock to polls amid deadly, difficult year for brown and Black people",https://www.usatoday.com/story/news/nation/2020/11/03/how-black-latino-voters-vote-could-decide-who-new-president/6129556002/,"Black voters on both sides of the aisle say the civility and inclusivity of the two presidential candidates is on their minds as they prepare to head to the polls before Election Day. (Oct. 23)
AP D… [+13453 chars]",2020-11-03T16:22:50Z
immigrant,USA Today,"USA TODAY, By Rachel Axon, Kyle Bagenstose and Kevin Crowe, USA TODAY; Sky Chadde, Midwest Center for Investigative Reporting",'They think workers are like dogs.' How pork plant execs sacrificed safety for profits.,https://www.usatoday.com/in-depth/news/investigations/2020/11/11/coronavirus-death-pork-plants-meat-packing/6044754002/,"Leer en español
This story is part of a collaborative reporting initiative between USA TODAY and the Midwest Center for Investigative Reporting and is supported by the Pulitzer Center on Crisis Repo… [+30254 chars]",2020-11-12T02:41:21Z
