Keyword,Source,Author,Title,URL,Text,Published
immigrants,Buzzfeed,"[{""@type"":""Person"",""name"":""Hope Lasater"",""url"":""https://www.buzzfeed.com/hopelasater"",""jobTitle"":""BuzzFeed Staff""}]",Here's What 26 Teenagers Want To Say To You About This Election,https://www.buzzfeed.com/hopelasater/teen-voting-opinions,"""We NEED leadership, which we definitely will not get from our current president. Vote for a president who will benefit every American. Remember, Americans are not just white, straight, cisgender peo… [+218 chars]",2020-10-29T00:21:14Z
immigrants,The Wall Street Journal,Michelle Hackman,DACA Is Restored After Court Rules DHS Head Served Illegally - The Wall Street Journal,https://www.wsj.com/articles/federal-judge-invalidates-trump-administration-s-daca-rollback-11605400169,"WASHINGTONA federal judge in New York invalidated Trump administration rules narrowing the program that protects immigrants living in the U.S. since childhood without legal permission, ruling the res… [+332 chars]",2020-11-15T01:50:00Z
immigrants,The Wall Street Journal,Tarini Parti,Kamala Harris to Make History as First Female U.S. Vice President - The Wall Street Journal,https://www.wsj.com/articles/kamala-harris-to-make-history-as-first-female-u-s-vice-president-11604769441,"Sen. Kamala Harris of California was elected the first female vice president of the United States, putting a substantial crack in what former candidate Hillary Clinton called the highest and hardest … [+329 chars]",2020-11-07T17:17:00Z
immigrants,The Wall Street Journal,,What H-1B Visa Changes Could Mean for Tech Startups - Wall Street Journal,https://www.wsj.com/articles/what-h-1b-visa-changes-could-mean-for-tech-firms-11604500024,Changes to the H-1B visa program announced in October will make qualifying for the work visas much tougher and compel employers to pay foreign workers drastically higher wages. U.S. technology startu… [+3074 chars],2020-11-04T14:27:00Z
immigrants,The Wall Street Journal,"John McCormick, Alex Leary",CALMER,https://www.wsj.com/articles/final-trump-biden-debate-marks-start-of-sprint-to-election-11603386976,"President Trump and Democrat Joe Biden offered starkly differing views of the administrations handling of the coronavirus pandemic, traded accusations about their personal ethics and questioned each … [+9347 chars]",2020-10-23T03:22:37Z
immigrants,The Wall Street Journal,David Degner For The Wall Street Journal,Tech Startups Say New Pay Rules for H-1B Visas Are Unaffordable,https://www.wsj.com/articles/tech-startups-say-new-pay-rules-for-h-1b-visas-are-unaffordable-11604246400,"New rules from the Trump administration restricting skilled foreign workers are unnerving U.S. startup hubs, as founders and investors say the limitations will hamstring their ability to recruit top-… [+900 chars]",2020-11-01T16:29:37Z
immigrants,The Wall Street Journal,"Bojan Pancevski, Jared S. Hopkins, Marzena Skubatz for The Wall Street Journal",How Pfizer Partner BioNTech Became a Leader in Coronavirus Vaccine Race - The Wall Street Journal,https://www.wsj.com/articles/how-pfizer-partner-biontech-became-a-leader-in-coronavirus-vaccine-race-11603359015,"MAINZ, GermanyOn a Friday in late January, Ugur Sahin received an email with bad news: A new study of a deadly new coronavirus in China suggested it was more infectious than previously believed. The … [+7886 chars]",2020-10-22T09:30:00Z
immigrants,USA Today,"Arizona Republic, Daniel Gonzalez, Arizona Republic",Who is the 'Latino voter?' 2020 election reflected a diverse bloc that varies region to region,https://www.usatoday.com/story/news/politics/elections/2020/11/15/2020-election-showed-latino-voters-diverse-bloc-vary-region-to-region/6306128002/,"Ana Paula Cortes and Claudia Montijo share a common cultural background.
Both are Latina women of Mexican descent. Both are in their 20s. And both are professionals. Cortes is a freelance writer in … [+9688 chars]",2020-11-15T22:34:30Z
immigrants,USA Today,"USA TODAY, USA TODAY",Meet the four women who preceded Amy Coney Barrett on the Supreme Court,https://www.usatoday.com/in-depth/life/women-of-the-century/2020/10/26/four-women-preceded-amy-coney-barrett-us-supreme-court-sonia-sotomayor-ruth-bader-ginsburg/3710518001/,"In a 52-48 vote on Monday night, Amy Coney Barrett became the fifth woman to be confirmed to the United States Supreme Court.
Coney Barrett, a 48-year-old U.S. Court of Appeals judge nominated by Pr… [+4978 chars]",2020-10-27T02:28:05Z
immigrants,USA Today,"York Daily Record, Candy Woodall, USA TODAY Network Pennsylvania Capitol Bureau","How these Pennsylvania counties helped Joe Biden win, and what it means for 2022 and 2024 elections",https://www.usatoday.com/story/news/politics/elections/2020/11/16/election-2020-pennsylvania-counties-helped-joe-biden-win/6310341002/,"President Trump surprised excited ""Million MAGA March"" attendees as they flooded Freedom Plaza
Wochit
It's been more than a week since President-elect Joe Biden's win in Pennsylvania returned the s… [+5790 chars]",2020-11-16T15:56:11Z
