Keyword,Source,Author,Title,URL,Text,Published
migrant,The Wall Street Journal,"Alicia A. Caldwell, Michelle Hackman",Administration Races to Meet Border-Wall Goal...,https://www.wsj.com/articles/trump-administration-races-to-meet-border-wall-goal-11603454404,"GUADALUPE CANYON, Ariz.The Trump administration is building new sections of a wall on the nations southern border wherever it can and as quickly as it can to try to meet the presidents goal of buildi… [+7181 chars]",2020-10-23T14:49:37Z
migrant,The Wall Street Journal,"Isabel Coles, Nazih Osseiran",‘We’ve Lost Our Country’: Lebanese Flee an Imploding Economy - The Wall Street Journal,https://www.wsj.com/articles/weve-lost-our-country-lebanese-flee-an-imploding-economy-11604324182,"BEIRUTLebanons multiple crises, compounded by the massive explosion at the Beirut port in August, have plunged the middle class into poverty and the poor into destitution, driving some to leave the c… [+1143 chars]",2020-11-02T13:36:00Z
migrant,USA Today,"USA TODAY, McKenzie Sadeghi, USA TODAY",Fact check: Trump did not mean actual 'coyotes' take children across the border,https://www.usatoday.com/story/news/factcheck/2020/10/24/fact-check-trumps-coyote-remark-debate-taken-out-context/6008809002/,"President Trump defended his administration's child separation and immigration policies during the final 2020 presidential debate.
USA TODAY
The claim: Trump said actual 'coyotes' are taking childr… [+5327 chars]",2020-10-24T13:47:06Z
migrant,USA Today,"USA TODAY, Rebecca Morin and Jeanine Santucci, USA TODAY","'Learning to live' with COVID-19, Bidencare and other top moments from the final presidential debate",https://www.usatoday.com/story/news/politics/elections/2020/10/22/presidential-debate-top-moments-joe-biden-donald-trump-spar-issues/3710314001/,"If you were worried Thursday's debate was going to be a repeat of September's master class in interruption, you might have been pleasantly surprised. For most of the night. 
President Donald Trump a… [+11496 chars]",2020-10-23T02:45:10Z
migrant,USA Today,Rod McGuirk,Australia protests Qatar airport’s 'disturbing' exams of women passengers after finding abandoned newborn - USA TODAY,https://www.usatoday.com/story/travel/news/2020/10/26/australia-protests-qatar-airports-exams-female-passengers/6037663002/,"A gaffe from Qatar Airways male CEO, who has implied the airline cant be run by a woman because ""it is a very challenging position."" Veuer's Nathan Rousseau Smith reports.
CANBERRA, Australia (AP) A… [+3892 chars]",2020-10-26T09:53:06Z
migrant,USA Today,"USA TODAY, Rick Jervis, USA TODAY",'They are so well taken care of': Trump defends separating migrant children from parents,https://www.usatoday.com/story/news/nation/2020/10/22/biden-slams-trump-promises-citizenship-undocumented-immigrants/3738323001/,"Kristen Welker is a co-anchor of NBC's ""Weekend TODAY"" and NBC News White House correspondent. She will moderate the final presidential debate.
USA TODAY
President Donald Trump said Thursday only i… [+4638 chars]",2020-10-23T04:32:39Z
migrant,USA Today,"USA TODAY, Richard Wolf, USA TODAY",Supreme Court will rule on Trump administration policy forcing asylum seekers to remain in Mexico,https://www.usatoday.com/story/news/politics/2020/10/19/supreme-court-decide-fate-trump-administration-asylum-policy/5888265002/,"Migrants are told to apply for asylum from Mexico. What its like in Tapachula
USA TODAY
WASHINGTON  The Supreme Court agreed Monday to decide the fate of a Trump administration policy that forces m… [+3286 chars]",2020-10-19T13:41:10Z
migrant,USA Today,"USA TODAY, Gena Thomas, Opinion contributor",'Remain in Mexico' policy: My foster daughter was separated from her family at the border,https://www.usatoday.com/story/opinion/voices/2020/11/03/zero-tolerance-remain-in-mexico-border-policy-family-separation-column/6124902002/,"Being pro-life isn't just about supporting children; it's about supporting families and making sure they stay strong, together.
My former foster daughter was part of the pilot program of family sepa… [+5103 chars]",2020-11-03T17:00:19Z
migrant,USA Today,"USA TODAY, Sean Rossman, USA TODAY","Election 2020 live updates: After a more civil final debate, Trump and Pence head to battleground states, Biden to talk COVID",https://www.usatoday.com/story/news/politics/elections/2020/10/23/election-2020-updates-trump-pence-head-battlegrounds-after-debate/3679810001/,"While discussing health care, President Trump was the first to be muted at the final presidential debate.
USA TODAY
The final presidential debate was less confrontational and included more discussi… [+4064 chars]",2020-10-23T13:40:23Z
migrant,USA Today,"USA TODAY, Alan Gomez and Daniel Gonzalez, USA TODAY","Biden might need years to reverse Trump's immigration policies on DACA, asylum, family separation, ICE raids, private detention and more",https://www.usatoday.com/story/news/nation/2020/11/12/how-biden-reverse-trump-immigration-policies/6228892002/,"Former vice president Joe Biden says hes ashamed of Trumps immigration policy that led to a national scandal over the separation of migrant children and parents at the border.
Family separations. Th… [+34557 chars]",2020-11-13T00:10:46Z
